C0,C1,C2,C3,C4,T1,T2,T3,T5,T10,S1,S2,HS01,HS02,HS03,HS04,HS05,HS06,HS07,HS08,HS09,HS10,HS11,HS12,HS13,HS14,HS15,HS16,HS17,HS18,HS19,HS20,HS21,HS22,HS23,HS24,HS25,HS26,HS27,HS28,HS29,HS30,HR01,HR02,HR03,HR04,HR05,HR06,HR07,HR08,HR09,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,HR25,HR26,HR27,HR28,HR29,HR30,HT01,HT02,HT03,HT04,HT05,HT06,HT07,HT08,HT09,HT10,HT11,HT12,HT13,HT14,HT15,HT16,HT17,HT18,HT20,HT21,HT22,HT23,HT24,HT25,HT26,HT27,HT28,HT29,HT30,HT31,HH01,HH02,HH03,HH04,HH05,HH06,HH07,HH08,HH09,HH10,HH11,HH12,HH13,HH14,HH15,HH16,HH17,HH18,HH19,HH20,HH21,HH22,HH23,HH24,HH25,HH26,HH27,HH28,HH29,HH30,HH31,HH32,HH33,HH34,HH35,HH36,HH37,HH38,HH39,HH40,HH41,HH42,HH43,HH44,HH45,HH46,HH47,HH48,HH49,HH50,HH51,HH52,HH53,HH54,HH55,HH56,P1,P2,P3,P4,P5,P6,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,DB
AF,AFG,Afghanistan,ASIA,Southern Asia,2015,2010,1,2011,2010,AFG_2015_DHS,DHS,0.00143472,0.019922115,0.03738471,0.060709162,0.090018446,0.11399877,0.132158229,0.126829268,0.109079729,0.098339824,0.210125026,0.057306825,0.150727608,0.790530846,0.71522853,0.164828858,8.105215895,1.296888269,3.771081452,4.334134443,0.208549479,2.624243447,2.093363173,1.361416402,0.763335209,0.558597185,0.356772971,0.21799938,0.096565981,0.032922147,1,0.983038057,4.528919946,1.585150342,0.008077798,0,1,0.913106732,0.046048321,0.040844947,0,0,1,0.914031092,0.895666916,0.187401511,0.003228474,0,1,0.95159069,1.720096418,0.328905298,0.005099403,0,1,0.954903814,2.651620874,0.389291942,0.00418337,0,0.00143472,0.552367288,0.42328346,0.002090592,0.003894241,0.016355811,0.00020496,0.000368928,0,1,6.661534893,10.17323879,7.251995321,11.59275707,6.012325671,12.98798561,7.207179716,NA,0.00143472,0.552367288,0.358844025,0.080795245,0.006558721,0,1,6.661534893,10.1182754,9.569115747,9.564302251,NA,0.983320763,0.016679237,0.000666778,0.019003167,0.036297716,0.059676613,0.08918153,0.113477246,0.132313719,0.127604601,0.110018336,0.099308218,0.212452075,0.047979798,0.075757576,0.101010101,0.118686869,0.141414141,0.146464646,0.123737374,0.080808081,0.053030303,0.04040404,0.070707071,0.000666778,0.552550425,0.359143191,0.081180197,0.00645941,0,0.047979798,0.54040404,0.340909091,0.058080808,0.012626263,0,8.137259369,6.191399677,4.347819952,3.521064457,3.789439417,2.67033522,0.208796095,0.193735453,0.999349821,0.015137859,4.549139612,3.323885378,1.58065511,1.844697929,0.00808457,0.007678511,1.951160329,0.746230016,1.838279088,1.924105204,33753500,40099460,5.4052,62.7,64.6,60.8,0.478,0.478,10.18014979,2.365896084,0.673,2101.589319,0.364833242,7.791942477,1.272154117,681.1316993,0.5421892,12.44831991,3.015345715,3489.646939,NATIONAL
AO,AGO,Angola,AFRICA,Middle Africa,2015,2010,1,2011,2010,AGO_2015-16_DHS,DHS,0.125581973,0.1190018,0.132658762,0.14426718,0.133527842,0.114842635,0.087528711,0.057669626,0.035818487,0.021478677,0.027624309,0.251660562,0.277795021,0.344962443,0.580358806,0.154571978,4.874941388,0.955368078,2.155822041,2.719119347,0.153739034,1.789873333,1.121116781,0.709318623,0.444868946,0.311249528,0.276848301,0.112723067,0.047592679,0.06135013,1,0.611098436,2.487154237,0.749960341,0.026483923,0,1,0.491394475,0.291217537,0.198198498,0.01918949,0,1,0.573073004,1.062033416,0.354769909,0.01012367,0,1,0.628388067,1.893164135,0.469013861,0.009433937,0,1,0.707657025,2.691626553,0.586570893,0.01414553,0,0.125581973,0.53274567,0.270035384,0.006828481,0.005090322,0.0569247,0.002421007,0.000372463,0,1,4.662380883,6.84083797,7.185893358,8.720915988,3.276112351,2.525513281,3.482177312,NA,0.125581973,0.53274567,0.168477249,0.158482836,0.014712273,0,1,4.662380883,6.656277142,5.990715625,6.8954943,NA,0.655163214,0.344836786,0.109393818,0.106985147,0.114612605,0.136892814,0.135387395,0.123845845,0.100863107,0.069650743,0.043456443,0.025291048,0.033621036,0.151830757,0.138486574,0.16192026,0.156224573,0.130512612,0.100244101,0.065907242,0.038242474,0.023433686,0.015296989,0.017900732,0.109393818,0.572862304,0.133079085,0.165596146,0.019068647,0,0.151830757,0.467697315,0.225874695,0.146948739,0.007648495,0,5.193873677,4.268994716,2.842065691,2.485530805,2.351807985,1.783463911,0.147130263,0.166295189,0.850515229,0.156225052,2.656630054,2.165163297,0.65234214,0.93542737,0.034013138,0.012178997,1.27492927,0.442843793,1.076878716,1.340620118,28127724,34503776,5.7744,60.7,63.1,58.2,0.582,0.586,11.6497,4.704040408,0.893,7652.656486,0.549278676,10.6901,3.65799284,6626.812049,0.614967988,12.7045,5.922784328,8705.839878,NATIONAL
AL,ALB,Albania,EUROPE,Southern Europe,2008,2010,0,2006,2000,ALB_2008-09_DHS,DHS,0.061132642,0.196024503,0.175396925,0.222527816,0.174646831,0.100387548,0.040255032,0.01687711,0.007250906,0.002625328,0.002875359,0.371421428,0.397174647,0.170271284,0.170271284,0.353669209,3.843209133,0.20164826,2.713161606,1.130047527,0.469394628,0.493799549,0.763982987,0.435010632,0.426417637,0.566414358,0.50251818,0.3542867,0.218840126,0.081938963,1,0.805632522,1.580163037,0.453006231,0.004407344,0,1,0.809947307,0.157392582,0.027596146,0.005063964,0,1,0.811635898,1.079267078,0.103525596,0.005571429,0,1,0.894789603,1.915317787,0.186671122,0.003221488,0,1,0.861257289,2.515002545,0.620712762,0.003027404,0,0.061132642,0.684210526,0.242780348,0.000500063,0.000875109,0.008751094,0.001500188,0.000250031,0,1,3.449019762,5.618914919,4.385899653,7.096070154,2.579603348,2.506572877,3,NA,0.061132642,0.684210526,0.239029879,0.012501563,0.003125391,0,1,3.449019762,5.579926438,4.384428272,4.388716243,NA,0.843643914,0.156356086,0.017891755,0.195914716,0.173997316,0.237811242,0.185626957,0.112270762,0.045027583,0.018339049,0.007156702,0.002981959,0.002981959,0.285603715,0.196594427,0.182662539,0.143188854,0.117647059,0.03869969,0.015479876,0.009287926,0.007739938,0.000773994,0.002321981,0.017891755,0.731623677,0.236618458,0.011927837,0.001938273,0,0.285603715,0.438080495,0.251547988,0.015479876,0.009287926,0,4.014739001,2.917692684,1.172158626,0.902830452,2.842580374,2.014862232,0.465550182,0.490137946,0.95013433,0.025950232,1.628113321,1.321439719,0.434256387,0.55417397,0.002234964,0.016128763,1.419980975,0.478223626,1.422599399,1.536638606,2951690,2854710,1.648,77.7,80.4,75.2,0.736,0.796,12.12487984,9.276760101,0.949,9962.442236,0.715264124,12.34819984,8.771929741,7208.741202,0.75343225,11.90664005,9.836990356,12720.55954,NATIONAL
AL,ALB,Albania,EUROPE,Southern Europe,2017,2020,1,2016,2010,ALB_2017-18_DHS,DHS,0.08310687,0.276243443,0.198698098,0.198129305,0.133539784,0.072363016,0.025785249,0.007015105,0.002717563,0.001137585,0.001263983,0.474941541,0.331669089,0.1102825,0.155217089,0.397459395,3.322777402,0.165996573,2.618081041,0.704696361,0.545610306,0.352169646,0.445082192,0.451338461,0.373332582,0.40645266,0.494483094,0.444708054,0.248450251,0.106760463,1,0.7633556,1.197725081,0.350831461,0.010500658,0,1,0.813450883,0.131879034,0.050242299,0.004427784,0,1,0.802810637,1.043073222,0.13309107,0.01919849,0,1,0.896195315,1.876357566,0.220897699,0.00654942,0,1,0.84829327,2.409250691,0.724955706,0.017500332,0,0.08310687,0.678758769,0.21835303,0.001263983,0.001706377,0.014978196,0.001327182,0.000505593,0,1,3.095441466,5.256232733,3.868192033,6.862456318,2.325800532,2.791237792,4.128524329,NA,0.08310687,0.678758769,0.219743411,0.013587815,0.004803135,0,1,3.095441466,5.14474011,3.418853775,4.010448562,NA,0.826784745,0.173215255,0.033727191,0.286419384,0.200792701,0.213730182,0.142461861,0.080017948,0.029314987,0.007777445,0.002991325,0.001271313,0.001495663,0.35250918,0.220726234,0.187270502,0.113015096,0.084863321,0.030599755,0.006527948,0.002855977,0.00122399,0.000407997,0,0.033727191,0.732874663,0.217170206,0.012114867,0.004113072,0,0.35250918,0.383516932,0.23378213,0.021623827,0.008567931,0,3.511373626,2.422576775,0.733703653,0.56623981,2.777669973,1.856336964,0.557786178,0.487492877,0.916430705,0.032703081,1.248073437,0.957404141,0.340222567,0.40146945,0.006205929,0.031000102,1.460868001,0.437331094,1.316801972,1.41900587,2879361,2854710,1.4909,79,81.5,76.9,0.802,0.796,14.81612968,10.91069206,0.991,12802.14831,0.797815511,15.51123047,11.12231116,10148.61287,0.805385473,14.17994022,10.72127488,15442.82403,NATIONAL
AR,ARG,Argentina,LATIN-AMERICA,South America,1970,1970,0,1966,1960,ARG_1970_IPUMS,IPUMS,0.103507312,0.183866365,0.204981572,0.20691951,0.135001783,0.07318987,0.045678278,0.019426941,0.012352871,0.007050291,0.008025205,0.388847937,0.341921294,0.165723457,0.270812032,0.209879919,3.782747262,0.386866609,2.457171398,1.325575864,0.259706746,0.762305122,0.696459788,0.576827485,0.508270802,0.474581109,0.360002854,0.252095944,0.115957712,0.036246447,1,0.707566803,1.532530235,0.401707674,0.137779311,0,1,0.615454252,0.172971225,0.146007113,0.06556741,0,1,0.769386927,0.896119715,0.239255264,0.093788063,0,1,0.858883015,1.719719605,0.309181797,0.109802344,0,1,0.861999119,2.371554381,0.576486129,0.186173492,0,0.103507312,0.584330044,0.16833908,0.05316847,0.020223517,0.046118179,0.018523362,0.005790037,0,1,3.721758769,5.278903877,5.118067979,6.834803057,2.801237432,2.716944801,4.342915811,NA,0.103507312,0.584330044,0.116692427,0.097764832,0.097705386,0,1,3.721758769,5.045542537,4.388665937,4.972256023,NA,0.835547205,0.164440903,0.072001936,0.168768324,0.209473115,0.2241183,0.14615297,0.079573596,0.04920156,0.020878996,0.013321568,0.007728217,0.008781418,0.262293896,0.260847556,0.182455887,0.119829332,0.078536303,0.040859126,0.02784206,0.012076945,0.007448655,0.003615852,0.004194388,0.072001936,0.629259059,0.11301984,0.089835188,0.095883977,0,0.262293896,0.356884582,0.135522129,0.138197859,0.107101533,0,3.957274202,2.89477871,1.411573824,0.887619323,2.545700379,2.007159387,0.2406564,0.356522997,0.839828072,0.035579983,1.602615923,1.176525889,0.376362757,0.53051779,0.135037431,0.151721146,1.339230309,0.456103558,1.206470069,1.551055829,23842804,45276788,3.0883,65.6,69.7,62,NA,0.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NATIONAL
AR,ARG,Argentina,LATIN-AMERICA,South America,1980,1980,0,1976,1970,ARG_1980_IPUMS,IPUMS,0.102533158,0.166715017,0.175406431,0.192058206,0.139306311,0.090070436,0.061315664,0.02603943,0.016396486,0.011070239,0.01908862,0.342121448,0.331364517,0.223980877,0.346658621,0.22370238,3.85701112,0.447724857,2.472684001,1.38432712,0.311065038,0.841454193,0.661335384,0.59184175,0.510072302,0.423992455,0.377222943,0.260119565,0.144245029,0.0467275,1,0.699542913,1.539795571,0.480222998,0.137449638,0,1,0.61796051,0.172723381,0.137151387,0.069596426,0,1,0.751131878,0.90437585,0.245299641,0.09228985,0,1,0.846731517,1.716538926,0.326817343,0.103248368,0,1,0.856255739,2.376091389,0.602306507,0.151432618,0,0.102533158,0.552560428,0.199589218,0.050024949,0.025018276,0.042691205,0.021363009,0.006219757,0,1,3.678120658,5.541559638,5.128336256,7.578864848,2.753736128,2.75478684,4.355802375,NA,0.102533158,0.552560428,0.14051313,0.101767293,0.102625991,0,1,3.678120658,5.452263704,4.47506203,5.104380618,NA,0.812172046,0.187827954,0.075059554,0.151967083,0.174417094,0.206655598,0.151404028,0.097249693,0.065906302,0.027633004,0.017512452,0.012026276,0.020168916,0.215054399,0.22711684,0.179458373,0.132272942,0.089758751,0.060666982,0.042514191,0.019512772,0.011825922,0.007154683,0.014664144,0.075059554,0.601819101,0.128852956,0.094506605,0.099761784,0,0.215054399,0.350815989,0.188268685,0.131504257,0.11435667,0,4.032761657,3.09706208,1.474861693,0.992853708,2.557899964,2.104208372,0.283950745,0.428307816,0.842683523,0.080599886,1.626048453,1.166836284,0.434193477,0.679255623,0.129836205,0.170370288,1.343013286,0.535054855,1.214886678,1.569153517,28024808,45276788,3.3013,68.6,72.5,64.8,NA,0.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NATIONAL
AR,ARG,Argentina,LATIN-AMERICA,South America,1991,1990,0,1991,1990,ARG_1991_IPUMS,IPUMS,0.128578788,0.1986034,0.182702765,0.193406216,0.135939557,0.088729895,0.032259172,0.017823822,0.010062389,0.005689428,0.006204568,0.381306165,0.329345773,0.160769275,0.275988781,0.239871788,3.611140384,0.372029776,2.299666687,1.311473697,0.31466353,0.74115034,0.687381426,0.522040001,0.479701944,0.404195295,0.319411709,0.262327578,0.140567602,0.054364489,1,0.683021341,1.540981967,0.32821547,0.058921607,0,1,0.637796309,0.200039362,0.11400414,0.044675919,0,1,0.748854084,0.986394778,0.214743849,0.052955087,0,1,0.85853018,1.841301544,0.259137231,0.049436983,0,1,0.881569981,2.614659519,0.448303275,0.065200109,0,0.128578788,0.645698586,0.150558068,0.019312003,0.007418007,0.034731841,0.010646214,0.003056494,0,1,3.737287101,5.345720565,5.006293549,6.990587783,2.617961165,2.443076923,4.092876465,NA,0.128578788,0.645698586,0.117634938,0.067654971,0.040432717,0,1,3.737287101,5.130671392,4.255891016,4.572951274,NA,0.777016185,0.222983815,0.072928532,0.187563889,0.187096586,0.21713543,0.155349163,0.099871492,0.036142995,0.019787377,0.011273694,0.006250183,0.00660066,0.324839744,0.240651709,0.168162393,0.108226496,0.06607906,0.048717949,0.01832265,0.010790598,0.005715812,0.003685897,0.004807692,0.072928532,0.722115132,0.107129297,0.06089547,0.036931569,0,0.324839744,0.371581197,0.157051282,0.092948718,0.05357906,0,3.876170626,2.677098256,1.449003467,0.830492817,2.427167158,1.846605438,0.281128795,0.429377586,0.855035491,0.0836156,1.684390698,1.041255539,0.284819087,0.479435824,0.051925349,0.072791292,1.287137766,0.439057208,1.140029392,1.407548231,33105766,45276788,3.0119,72.3,75.6,69,0.73,0.842,13.23573971,8.192950249,0.98,14803.99888,0.719238496,13.94609639,8.092670441,9801.581445,0.734131824,12.52538302,8.302909851,19962.77508,NATIONAL
AR,ARG,Argentina,LATIN-AMERICA,South America,2001,2000,0,2001,2000,ARG_2001_IPUMS,IPUMS,0.148760995,0.201777553,0.185793354,0.186298601,0.124773213,0.069735664,0.042096319,0.017281767,0.009921227,0.005925177,0.00763613,0.387570907,0.311071814,0.152596284,0.247640264,0.264784236,3.572663804,0.334152447,2.363640539,1.209023264,0.342822038,0.679420343,0.654387617,0.582630962,0.450818731,0.404473739,0.331120961,0.235617665,0.166203523,0.067990262,1,0.647509359,1.538329927,0.352582505,0.034242014,0,1,0.593501024,0.244138402,0.124857728,0.037502845,0,1,0.733374536,1.026019778,0.205809642,0.034796044,0,1,0.838141026,1.871856509,0.259122288,0.030880178,0,1,0.853948095,2.640622124,0.473127186,0.032302595,0,0.148760995,0.631238086,0.155868911,0.010024573,0.004501298,0.037698367,0.009645638,0.002262132,0,1,3.709233792,5.604464417,4.746849943,6.959183673,2.604325312,2.355952381,4.030456853,NA,0.148760995,0.631238086,0.131617022,0.061950256,0.02643364,0,1,3.709233792,5.403507241,4.205746061,4.189834926,NA,0.72519119,0.27480881,0.089305507,0.186148146,0.193194414,0.212939798,0.144519745,0.081150838,0.047281249,0.019523704,0.011052348,0.006634576,0.008249675,0.305657697,0.243021895,0.166262744,0.11599532,0.072664215,0.039612235,0.028413839,0.011365536,0.00693632,0.004053151,0.006017048,0.089305507,0.714808247,0.120277417,0.054153339,0.02145549,0,0.305657697,0.410705332,0.161541033,0.082525489,0.03957045,0,3.856351142,2.824043122,1.338996738,0.866037105,2.517354404,1.958006017,0.313677677,0.419730904,0.842100263,0.13400468,1.679276055,1.1663881,0.306948095,0.473006853,0.028026728,0.05064349,1.349320708,0.535015878,1.168033695,1.422990139,37480492,45276788,2.5313,74.2,77.6,70.7,0.784,0.842,16.16996002,8.867059708,0.99,17153.2977,0.777137175,16.82045937,8.977640152,11945.28635,0.785177147,15.5078001,8.742919922,22505.63697,NATIONAL
AR,ARG,Argentina,LATIN-AMERICA,South America,2020,2020,1,2016,2010,ARG_2020_MICS,MICS,0.162012293,0.190138963,0.197621593,0.199291823,0.124064671,0.06460449,0.031333511,0.014230358,0.007883485,0.003874933,0.00494388,0.387760556,0.323356494,0.126870657,0.348944415,0.239176911,2.948655856,0.210187157,2.128363504,0.820292352,0.415967683,0.447793041,0.468246562,0.432782756,0.382885474,0.347919036,0.309457854,0.271457887,0.194832157,0.093281088,1,0.534538913,1.14609094,0.255843351,0.012000371,0,1,0.597486324,0.269240332,0.118249452,0.014769104,0,1,0.669174029,1.099262632,0.214373982,0.017189356,0,1,0.784025595,1.983594573,0.224009055,0.008370777,0,1,0.777994612,2.72730742,0.475827081,0.018870887,0,0.162012293,0.621859968,0.17136558,0.002338322,0.002137894,0.036344201,0.002672368,0.001202565,6.68E-05,1,3.279543594,5.21615814,4.033609256,7.596204169,2.546221133,2.338271648,3.825282072,2,0.162012293,0.621859968,0.172835382,0.034874399,0.008351149,6.68E-05,1,3.279543594,4.824285256,3.284745639,3.677177771,2,0.499715972,0.500284028,0.156507414,0.18369028,0.195359692,0.212795167,0.129599121,0.063014827,0.031987919,0.012904997,0.006452499,0.003294893,0.004393191,0.167230609,0.196251952,0.199765747,0.186491411,0.118818324,0.0661114,0.03071317,0.015486726,0.009239979,0.004424779,0.005465903,0.156507414,0.663234487,0.141543108,0.030889621,0.007825371,0,0.167230609,0.58263925,0.202498699,0.038651744,0.008849558,0.000130141,3.003655367,2.893718795,0.777440386,0.863095661,2.226214981,2.030623134,0.413323869,0.418608495,0.695103985,0.374156157,1.097655456,1.194471427,0.200423682,0.311200092,0.010472244,0.013526762,1.293345118,0.702746034,0.932869863,1.327877101,45036032,45276788,1.9115,75.9,79.3,72.5,0.84,0.842,17.8748703,11.14726927,0.999,19178.33184,0.831992596,19.23380089,11.35364528,14374.39462,0.832783696,16.55146027,10.90602315,24077.50516,NATIONAL
AM,ARM,Armenia,ASIA,Western Asia,2000,2000,0,1996,1990,ARM_2000_DHS,DHS,0.081605351,0.122408027,0.119063545,0.195150502,0.203177258,0.146822742,0.073913043,0.027090301,0.013210702,0.00819398,0.009364548,0.241471572,0.398327759,0.278595318,0.22541806,0.361371237,4.375442938,0.295554479,3.025181543,1.350261395,0.458140709,0.658690227,0.851420877,0.64281803,0.594061933,0.622793401,0.313569905,0.400438931,0.245812565,0.045837069,1,0.684876451,1.80907514,0.878771511,0.002719836,0,1,0.614133172,0.300996784,0.084107343,0.000762701,0,1,0.673349304,1.138165324,0.181048657,0.007436715,0,1,0.835787404,1.923950272,0.238078364,0.00218396,0,1,0.752795816,2.484005337,0.760176975,0.003021872,0,0.081605351,0.519565217,0.377424749,0.001003344,0.001003344,0.018896321,0.000501672,0,0,1,3.665819772,6.108617693,4.251823937,5.392331142,3.159947373,2.667116982,NA,NA,0.081605351,0.519565217,0.375250836,0.021070234,0.002508361,0,1,3.665819772,6.047000599,4.459454493,4.550300548,NA,0.711302626,0.288697374,0.025635104,0.109237875,0.113163972,0.226558891,0.222170901,0.158891455,0.082448037,0.031177829,0.012471132,0.009237875,0.009006928,0.228484848,0.156969697,0.134545455,0.112727273,0.153333333,0.115151515,0.051515152,0.016363636,0.015151515,0.005454545,0.01030303,0.025635104,0.608083141,0.346420323,0.018244804,0.001616628,0,0.228484848,0.287272727,0.450909091,0.028484848,0.004848485,0,4.65898874,3.676832933,1.453696226,1.095415061,3.205292514,2.581417873,0.443460231,0.49431098,0.92504745,0.093134794,1.967719585,1.418201443,0.764487571,1.160348254,0.001734134,0.005148443,1.635611814,0.791667409,1.5696807,1.789750464,3168525,2790971,1.6029,70.6,74.2,66.9,0.662,0.759,11.18803978,10.49016104,0.944,4178.388592,0.636372702,11.69888973,10.38540232,2450.656084,0.674292962,10.66516972,10.59781304,6109.273001,NATIONAL
